nombre del caso,detalle,tipo
Inscripción en Ingeniería de Redes,Proceso de inscripción en Ingeniería de Redes,inscripción de materias
Registro en Filosofía del Lenguaje,Proceso de inscripción en Filosofía del Lenguaje,inscripción de materias
Inscripción en Análisis de Datos de Mercado,Proceso de inscripción en Análisis de Datos de Mercado,inscripción de materias
Registro en Introducción a la Filosofía del Derecho,Proceso de inscripción en Introducción a la Filosofía del Derecho,inscripción de materias
Inscripción en Psicología de la Personalidad,Proceso de inscripción en Psicología de la Personalidad,inscripción de materias
Registro en Contabilidad Financiera Avanzada,Proceso de inscripción en Contabilidad Financiera Avanzada,inscripción de materias
Inscripción en Métodos de Investigación Social,Proceso de inscripción en Métodos de Investigación Social,inscripción de materias
Registro en Literatura Latinoamericana,Proceso de inscripción en Literatura Latinoamericana,inscripción de materias
Inscripción en Ciencias Ambientales Avanzadas,Proceso de inscripción en Ciencias Ambientales Avanzadas,inscripción de materias
Registro en Filosofía y Cultura,Proceso de inscripción en Filosofía y Cultura,inscripción de materias
Inscripción en Derecho y Política Internacional,Proceso de inscripción en Derecho y Política Internacional,inscripción de materias
Registro en Ciencias del Comportamiento,Proceso de inscripción en Ciencias del Comportamiento,inscripción de materias
Inscripción en Historia de la Ciencia Social y Política,Proceso de inscripción en Historia de la Ciencia Social y Política,inscripción de materias
Registro en Matemáticas para la Ciencias Sociales,Proceso de inscripción en Matemáticas para la Ciencias Sociales,inscripción de materias
Inscripción en Química Analítica,Proceso de inscripción en Química Analítica,inscripción de materias
Registro en Psicología y Ciencias Cognitivas,Proceso de inscripción en Psicología y Ciencias Cognitivas,inscripción de materias
Inscripción en Modelos de Negocios,Proceso de inscripción en Modelos de Negocios,inscripción de materias
Registro en Gestión de Recursos Humanos,Proceso de inscripción en Gestión de Recursos Humanos,inscripción de materias
Inscripción en Historia de las Ideas Políticas,Proceso de inscripción en Historia de las Ideas Políticas,inscripción de materias
Registro en Psicología Clínica Avanzada,Proceso de inscripción en Psicología Clínica Avanzada,inscripción de materias
Inscripción en Filosofía y Política,Proceso de inscripción en Filosofía y Política,inscripción de materias
Registro en Ingeniería Ambiental,Proceso de inscripción en Ingeniería Ambiental,inscripción de materias
Inscripción en Derecho Penal,Proceso de inscripción en Derecho Penal,inscripción de materias
Registro en Administración Financiera,Proceso de inscripción en Administración Financiera,inscripción de materias
Inscripción en Filosofía de la Política,Proceso de inscripción en Filosofía de la Política,inscripción de materias
Registro en Psicología Organizacional Avanzada,Proceso de inscripción en Psicología Organizacional Avanzada,inscripción de materias
Inscripción en Historia de la Ciencia y el Conocimiento,Proceso de inscripción en Historia de la Ciencia y el Conocimiento,inscripción de materias
Registro en Contabilidad Gerencial,Proceso de inscripción en Contabilidad Gerencial,inscripción de materias
Inscripción en Sociología de la Educación Superior,Proceso de inscripción en Sociología de la Educación Superior,inscripción de materias
Registro en Comunicación Política,Proceso de inscripción en Comunicación Política,inscripción de materias
Inscripción en Ética Profesional,Proceso de inscripción en Ética Profesional,inscripción de materias
Registro en Teoría de la Comunicación,Proceso de inscripción en Teoría de la Comunicación,inscripción de materias
Inscripción en Desarrollo y Sostenibilidad,Proceso de inscripción en Desarrollo y Sostenibilidad,inscripción de materias
Registro en Historia de la Filosofía Contemporánea,Proceso de inscripción en Historia de la Filosofía Contemporánea,inscripción de materias
Inscripción en Diseño de Soluciones Tecnológicas,Proceso de inscripción en Diseño de Soluciones Tecnológicas,inscripción de materias
Registro en Biología de Ecosistemas,Proceso de inscripción en Biología de Ecosistemas,inscripción de materias
Inscripción en Derecho Internacional,Proceso de inscripción en Derecho Internacional,inscripción de materias
Registro en Estrategia y Política Empresarial,Proceso de inscripción en Estrategia y Política Empresarial,inscripción de materias
Inscripción en Bioquímica y Genética,Proceso de inscripción en Bioquímica y Genética,inscripción de materias
Registro en Literatura Comparada,Proceso de inscripción en Literatura Comparada,inscripción de materias
Inscripción en Redes y Sistemas de Información,Proceso de inscripción en Redes y Sistemas de Información,inscripción de materias
Registro en Historia del Pensamiento Filosófico,Proceso de inscripción en Historia del Pensamiento Filosófico,inscripción de materias
Inscripción en Filosofía de la Educación Comparativa,Proceso de inscripción en Filosofía de la Educación Comparativa,inscripción de materias
Registro en Psicología de la Motivación,Proceso de inscripción en Psicología de la Motivación,inscripción de materias
Inscripción en Contabilidad Financiera y Auditoría,Proceso de inscripción en Contabilidad Financiera y Auditoría,inscripción de materias
Registro en Métodos de Investigación Experimental,Proceso de inscripción en Métodos de Investigación Experimental,inscripción de materias
Inscripción en Literatura Contemporánea,Proceso de inscripción en Literatura Contemporánea,inscripción de materias
Registro en Ciencias de la Comunicación,Proceso de inscripción en Ciencias de la Comunicación,inscripción de materias
Inscripción en Filosofía de la Historia de las Ideas,Proceso de inscripción en Filosofía de la Historia de las Ideas,inscripción de materias
Registro en Derecho Empresarial Internacional,Proceso de inscripción en Derecho Empresarial Internacional,inscripción de materias
Inscripción en Matemáticas Avanzadas para Ciencias Sociales,Proceso de inscripción en Matemáticas Avanzadas para Ciencias Sociales,inscripción de materias
Aplazamiento de Inscripción en Ingeniería Civil,Aplazamiento solicitado para la inscripción en Ingeniería Civil,aplazamientos
Aplazamiento de Examen de Matemáticas Aplazado,Aplazamiento para el examen de Matemáticas Aplazado,aplazamientos
Aplazamiento en Historia del Arte,Aplazamiento en el curso de Historia del Arte,aplazamientos
Aplazamiento de Inscripción en Psicología,Aplazamiento solicitado para la inscripción en Psicología,aplazamientos
Aplazamiento de Asignatura de Filosofía,Aplazamiento de la asignatura de Filosofía,aplazamientos
Aplazamiento de Curso de Ciencias Políticas,Aplazamiento en el curso de Ciencias Políticas,aplazamientos
Aplazamiento de Examen de Química,Aplazamiento del examen de Química,aplazamientos
Aplazamiento en Derecho Penal,Aplazamiento en el curso de Derecho Penal,aplazamientos
Aplazamiento de Inscripción en Biología,Aplazamiento solicitado para la inscripción en Biología,aplazamientos
Aplazamiento de Curso de Comunicación Social,Aplazamiento en el curso de Comunicación Social,aplazamientos
Aplazamiento en Estadística Aplicada,Aplazamiento en el curso de Estadística Aplicada,aplazamientos
Aplazamiento de Inscripción en Filosofía de la Ciencia,Aplazamiento solicitado para la inscripción en Filosofía de la Ciencia,aplazamientos
Aplazamiento de Examen de Historia,Aplazamiento del examen de Historia,aplazamientos
Aplazamiento en Diseño Gráfico,Aplazamiento en el curso de Diseño Gráfico,aplazamientos
Aplazamiento de Inscripción en Sociología,Aplazamiento solicitado para la inscripción en Sociología,aplazamientos
Aplazamiento de Curso de Administración,Aplazamiento en el curso de Administración,aplazamientos
Aplazamiento de Examen de Matemáticas Aplicadas,Aplazamiento del examen de Matemáticas Aplicadas,aplazamientos
Aplazamiento en Ingeniería Electrónica,Aplazamiento en el curso de Ingeniería Electrónica,aplazamientos
Aplazamiento de Inscripción en Medicina,Aplazamiento solicitado para la inscripción en Medicina,aplazamientos
Aplazamiento de Curso de Psicología Educacional,Aplazamiento en el curso de Psicología Educacional,aplazamientos
Aplazamiento de Examen de Historia de la Ciencia,Aplazamiento del examen de Historia de la Ciencia,aplazamientos
Aplazamiento en Ciencias de la Computación,Aplazamiento en el curso de Ciencias de la Computación,aplazamientos
Aplazamiento de Inscripción en Derecho Internacional,Aplazamiento solicitado para la inscripción en Derecho Internacional,aplazamientos
Aplazamiento de Curso de Filosofía de la Educación,Aplazamiento en el curso de Filosofía de la Educación,aplazamientos
